label,prompt_length,iteration,iteration_ms,decode_tokens,long_prefill_tokens,long_prefill_progress,decode_tpot_ms
baseline,4096,1,29.039494693279266,0,2048,2048,
baseline,4096,2,31.218409538269043,0,2048,4096,
baseline,4096,3,4.072502255439758,16,0,4096,64.33040648698807
baseline,4096,4,3.3734776079654694,16,0,4096,3.3734776079654694
baseline,4096,5,3.328319638967514,16,0,4096,3.328319638967514
baseline,4096,6,3.302585333585739,16,0,4096,3.302585333585739
baseline,8192,1,28.306417167186737,0,2048,2048,
baseline,8192,2,29.883388429880142,0,2048,4096,
baseline,8192,3,36.66384890675545,0,2048,6144,
baseline,8192,4,43.96256431937218,0,2048,8192,
baseline,8192,5,3.2868944108486176,16,0,8192,142.10311323404312
baseline,8192,6,3.186184912919998,16,0,8192,3.186184912919998
baseline,8192,7,3.1889118254184723,16,0,8192,3.1889118254184723
baseline,8192,8,3.18044051527977,16,0,8192,3.18044051527977
baseline,16384,1,28.01743522286415,0,2048,2048,
baseline,16384,2,28.835758566856384,0,2048,4096,
baseline,16384,3,33.60825404524803,0,2048,6144,
baseline,16384,4,40.45749083161354,0,2048,8192,
baseline,16384,5,46.839527785778046,0,2048,10240,
baseline,16384,6,53.51177603006363,0,2048,12288,
baseline,16384,7,59.65212360024452,0,2048,14336,
baseline,16384,8,66.42046198248863,0,2048,16384,
baseline,16384,9,3.4561268985271454,16,0,16384,360.7989549636841
baseline,16384,10,3.2424889504909515,16,0,16384,3.2424889504909515
baseline,16384,11,3.25123593211174,16,0,16384,3.25123593211174
baseline,16384,12,3.203403204679489,16,0,16384,3.203403204679489
