label,prompt_length,iteration,iteration_ms,decode_tokens,long_prefill_tokens,long_prefill_progress,decode_tpot_ms
chunked,4096,1,32.474398612976074,16,2032,2032,32.474398612976074
chunked,4096,2,30.101478099822998,16,2032,4064,30.101478099822998
chunked,4096,3,40.46981409192085,16,32,4096,40.46981409192085
chunked,4096,4,3.9313286542892456,16,0,4096,3.9313286542892456
chunked,4096,5,3.569226711988449,16,0,4096,3.569226711988449
chunked,4096,6,3.523789346218109,16,0,4096,3.523789346218109
chunked,4096,7,3.536585718393326,16,0,4096,3.536585718393326
chunked,8192,1,29.180631041526794,16,2032,2032,29.180631041526794
chunked,8192,2,30.07638454437256,16,2032,4064,30.07638454437256
chunked,8192,3,35.2422371506691,16,2032,6096,35.2422371506691
chunked,8192,4,41.22272878885269,16,2032,8128,41.22272878885269
chunked,8192,5,29.284276068210602,16,64,8192,29.284276068210602
chunked,8192,6,3.4928247332572937,16,0,8192,3.4928247332572937
chunked,8192,7,3.429308533668518,16,0,8192,3.429308533668518
chunked,8192,8,3.4156478941440582,16,0,8192,3.4156478941440582
chunked,8192,9,3.4008920192718506,16,0,8192,3.4008920192718506
chunked,16384,1,28.77906709909439,16,2032,2032,28.77906709909439
chunked,16384,2,28.954345732927322,16,2032,4064,28.954345732927322
chunked,16384,3,35.07539629936218,16,2032,6096,35.07539629936218
chunked,16384,4,41.261378675699234,16,2032,8128,41.261378675699234
chunked,16384,5,47.924648970365524,16,2032,10160,47.924648970365524
chunked,16384,6,53.83007973432541,16,2032,12192,53.83007973432541
chunked,16384,7,60.1925328373909,16,2032,14224,60.1925328373909
chunked,16384,8,66.38383865356445,16,2032,16256,66.38383865356445
chunked,16384,9,30.609343200922012,16,128,16384,30.609343200922012
chunked,16384,10,3.5302527248859406,16,0,16384,3.5302527248859406
chunked,16384,11,3.4544095396995544,16,0,16384,3.4544095396995544
chunked,16384,12,3.429267555475235,16,0,16384,3.429267555475235
chunked,16384,13,3.4348703920841217,16,0,16384,3.4348703920841217
